City-Town,Parish,Region
Lebeau,St. Landry,Acadiana
Lecompte,Rapides,Central
Lee,Orleans,Southeast
Lee Bayou,Catahoula,Central
Lees Creek,Washington,Southeast
Lees Landing,Tangipahoa,Southeast
Leesville,Vernon,Central
Leeville,Lafourche,Bayou
Legonier,Pointe Coupee,Capital
Leighton,Lafourche,Bayou
Leland,Catahoula,Central
Lelieux,Vermilion,Acadiana
Lena,Rapides,Central
Leonville,St. Landry,Acadiana
Leroy,Vermilion,Acadiana
Leton,Webster,Northwest
Lettsworth,Pointe Coupee,Capital
Levert,St. Martin,Acadiana
Lewis,Caddo,Northwest
Lewisburg,St. Landry,Acadiana
Lewisburg,St. Tammany,Southeast
Lewiston,Tangipahoa,Southeast
Liberty,Red River,Northwest
Liberty Hill,Bienville,Northwest
Libuse,Rapides,Central
Liddieville,Franklin,Northeast
Lillie,Union,Northeast
Lincecum,Grant,Central
Lincoln,Lincoln,Northwest
Lindsay,East Feliciana,Capital
Linville,Union,Northeast
Lions,St. John the Baptist,Southeast
Lisbon,Claiborne,Northwest
Lismore,Concordia,Central
Litroe,Union,Northeast
Little Creek,LaSalle,Central
Little Temple,Jefferson,Southeast
Little Texas,Assumption,Bayou
Littlewoods,Orleans,Southeast
Live Oak,Plaquemines,Southeast
Liverpool,St. Helena,Capital
Livingston,Livingston,Capital
Livonia,Pointe Coupee,Capital
Lobdell,West Baton Rouge,Capital
Loch Lomond,Union,Northeast
Lockhart,Union,Northeast
Lockport,Lafourche,Bayou
Locust Ridge,Tensas,Northeast
Log Cabin,Morehouse,Northeast
Logansport,DeSoto,Northwest
Loggy Bayou,Red River,Northwest
Logtown,Ouachita,Northeast
Loisel,Iberia,Acadiana
Lone Star,Iberville,Capital
Lone Star,St. Charles,Southeast
Lonepine,Evangeline,Acadiana
Long Bridge,Avoyelles,Central
Longleaf,Rapides,Central
Longstreet,DeSoto,Northwest
Longview,Franklin,Northeast
Longville,Beauregard,Southwest
Longwood,East Baton Rouge,Capital
Loranger,Tangipahoa,Southeast
Loreauville,Iberia,Acadiana
Lorelein,Franklin,Northeast
Lorraine,Caddo,Northwest
Lottie,Pointe Coupee,Capital
Lotus,Natchitoches,Northwest
Louisa,St. Mary,Bayou
Lower Vacherie,St. James,Southeast
Lowry,Cameron,Southwest
Loyd,Rapides,Central
Lucas,Caddo,Northwest
Lucas,Calcasieu,Southwest
Lucknow,Richland,Northeast
Lucky,Bienville,Northwest
Lucy,St. John the Baptist,Southeast
Ludevine,Lafourche,Bayou
Ludington,Beauregard,Southwest
Luella,Natchitoches,Northwest
Lula,DeSoto,Northwest
Luling,St. Charles,Southeast
Luna,Ouachita,Northeast
Lunita,Calcasieu,Southwest
Lutcher,St. James,Southeast
Lydia,Iberia,Acadiana
Lyons Point,Acadia,Acadiana
Mack,Vermilion,Acadiana
Macland,St. Landry,Acadiana
Madisonville,St. Tammany,Southeast
Magnolia,Assumption,Bayou
Magnolia,East Baton Rouge,Capital
Magnolia,Livingston,Capital
Magnolia,Natchitoches,Northwest
Magnolia,Plaquemines,Southeast
Mahon,Claiborne,Northwest
Maitland,Catahoula,Central
Mamou,Evangeline,Acadiana
Manchac,Tangipahoa,Southeast
Mandalay,Terrebonne,Bayou
Mandeville,St. Tammany,Southeast
Mangham,Richland,Northeast
Manifest,Catahoula,Central
Manila,Jefferson,Southeast
Mansfield,DeSoto,Northwest
Mansford,Madison,Northeast
Mansura,Avoyelles,Central
Many,Sabine,Northwest
Maplewood,Calcasieu,Southwest
Marco,Natchitoches,Northwest
Maringouin,Iberville,Capital
Marion,Union,Northeast
Markee,Vernon,Central
Marksville,Avoyelles,Central
Marrero,Jefferson,Southeast
Mars Hill,Winn,Central
Marsalis,Claiborne,Northwest
Marthaville,Natchitoches,Northwest
Martin,Red River,Northwest
Martin Junction,Webster,Northwest
Mason,Franklin,Northeast
Masters,Iberia,Acadiana
Mathews,Lafourche,Bayou
Maurepas,Livingston,Capital
Maurice,Vermilion,Acadiana
Maxie,Acadia,Acadiana
Mayna,Catahoula,Central
Mayo,Vernon,Central
Mayo Landing,Catahoula,Central
McCall,Ascension,Capital
McCrea,Pointe Coupee,Capital
McDade,Bossier,Northwest
McElroy,Ascension,Capital
McGinty,Morehouse,Northeast
McLain,Ouachita,Northeast
McManus,East Feliciana,Capital
McNary,Rapides,Central
McNutt,Rapides,Central
Meaux,Vermilion,Acadiana
Meeker,Rapides,Central
Melder,Rapides,Central
Melrose,Natchitoches,Northwest
Melville,St. Landry,Acadiana
Mer Rouge,Morehouse,Northeast
Meraux,St. Bernard,Southeast
Meridian,Evangeline,Acadiana
Merlin,West Baton Rouge,Capital
Mermentau,Acadia,Acadiana
Merrydale,East Baton Rouge,Capital
Merryville,Beauregard,Southwest
Messick,Natchitoches,Northwest
Metairie,Jefferson,Southeast
Methvin,Red River,Northwest
Metropolis,Franklin,Northeast
Michoud,Orleans,Southeast
Midland,Acadia,Acadiana
Midway,Bossier,Northwest
Midway,LaSalle,Central
Midway,St. Mary,Bayou
Mill,Winn,Central
Milldale,East Baton Rouge,Capital
Millerton,Claiborne,Northwest
Millerville,Acadia,Acadiana
Millerville,East Baton Rouge,Capital
Millhaven,Ouachita,Northeast
Millikin,East Carroll,Northeast
Milton,Lafayette,Acadiana
Mimosa Park,St. Charles,Southeast
Minden,Webster,Northwest
Minerva,Terrebonne,Bayou
Mink,Natchitoches,Northwest
Mira,Caddo,Northwest
Mire,Acadia,Acadiana
Mitchell,Sabine,Northwest
Mitchiner,Richland,Northeast
Mittie,Allen,Southwest
Mix,Pointe Coupee,Capital
Modeste,Ascension,Capital
Moncla,Avoyelles,Central
Monroe,Ouachita,Northeast
Montegut,Terrebonne,Bayou
Monterey,Concordia,Central
Montgomery,Grant,Central
Monticello,East Carroll,Northeast
Montpelier,St. Helena,Capital
Montrose,Natchitoches,Northwest
Montz,St. Charles,Southeast
Moore,Winn,Central
Mooringsport,Caddo,Northwest
Mora,Natchitoches,Northwest
Moreauville,Avoyelles,Central
Moreland,Rapides,Central
Morgan City,St. Mary,Bayou
Morganza,Pointe Coupee,Capital
Morrow,St. Landry,Acadiana
Morse,Acadia,Acadiana
Morvant,Lafourche,Bayou
Moss Bluff,Calcasieu,Southwest
Moss Lake,Calcasieu,Southwest
Mossville,Calcasieu,Southwest
Mot,Bossier,Northwest
Mound,Madison,Northeast
Mount Airy,St. John the Baptist,Southeast
Mount Carmel,Sabine,Northwest
Mount Hermon,Washington,Southeast
Mount Lebanon,Bienville,Northwest
Mount Olive,Bienville,Northwest
Mount Pleasant,Caldwell,Northeast
Mount Zion,Winn,Central
Mowata,Acadia,Acadiana
Mudville,Grant,Central
Mulberry,Terrebonne,Bayou
Mulvey,Vermilion,Acadiana
Musson,Iberville,Capital
Myrtis,Caddo,Northwest
Myrtle Grove,Plaquemines,Southeast
Naborton,DeSoto,Northwest
Nairn,Plaquemines,Southeast
Naomi,Plaquemines,Southeast
Napoleonville,Assumption,Bayou
Natalbany,Tangipahoa,Southeast
Natchez,Natchitoches,Northwest
Natchitoches,Natchitoches,Northwest
Neame,Vernon,Central
Nebo,LaSalle,Central
Negreet,Sabine,Northwest
Nero,Plaquemines,Southeast
Nesom,East Feliciana,Capital
Nesser,East Baton Rouge,Capital
New Era,Concordia,Central
New Iberia,Iberia,Acadiana
New Light,Richland,Northeast
New Llano,Vernon,Central
New Orleans,Orleans,Southeast
New Roads,Pointe Coupee,Capital
New Sarpy,St. Charles,Southeast
New Verda,Grant,Central
Newblock,Morehouse,Northeast
Newellton,Tensas,Northeast
Newlight,Tensas,Northeast
Newton,Calcasieu,Southwest
Niblett,Jefferson Davis,Southwest
Nibletts Bluff,Calcasieu,Southwest
Nickel,LaSalle,Central
Nina,St. Martin,Acadiana
Ninock,Bossier,Northwest
Noble,Sabine,Northwest
Norah,Lafourche,Bayou
Norco,St. Charles,Southeast
North Bend,St. Mary,Bayou
North Hodge,Jackson,Northwest
North Shore,St. Tammany,Southeast
North Vacherie,St. James,Southeast
Norton Corner,Claiborne,Northwest
Norwood,East Feliciana,Capital
Nuba,St. Landry,Acadiana
Nunez,Vermilion,Acadiana
Oak Grove,Ascension,Capital
Oak Grove,Cameron,Southwest
Oak Grove,Grant,Central
Oak Grove,Lincoln,Northwest
Oak Grove,Sabine,Northwest
Oak Grove,West Carroll,Northeast
Oak Hills,East Baton Rouge,Capital
Oak Ridge,Morehouse,Northeast
Oakdale,Allen,Southwest
Oakland,Bossier,Northwest
Oakland,Union,Northeast
Oaklawn,St. Mary,Bayou
Oaklawn,St. Tammany,Southeast
Oakley,Assumption,Bayou
Oakley,Franklin,Northeast
Oaknolia,East Feliciana,Capital
Oakville,Plaquemines,Southeast
Oberlin,Allen,Southwest
Odenburg,Avoyelles,Central
Odra,Natchitoches,Northwest
Oil City,Caddo,Northwest
Okaloosa,Ouachita,Northeast
Old Athens,Claiborne,Northwest
Old Jefferson,East Baton Rouge,Capital
Old Shongaloo,Webster,Northwest
Oldfield,Livingston,Capital
Olga,Plaquemines,Southeast
Olive Branch,East Feliciana,Capital
Olivier,Iberia,Acadiana
Olla,LaSalle,Central
Ollie,Plaquemines,Southeast
Omega,Concordia,Central
Omega,Madison,Northeast
Onville,St. Tammany,Southeast
Opelousas,St. Landry,Acadiana
Oretta,Beauregard,Southwest
Oscar,Pointe Coupee,Capital
Osceola,Tangipahoa,Southeast
Ossun,Lafayette,Acadiana
Ostrica,Plaquemines,Southeast
Otis,Rapides,Central
Ouachita City,Union,Northeast
Oxford,DeSoto,Northwest
Oxford,St. Mary,Bayou
Packton,Winn,Central
Paincourtville,Assumption,Bayou
Palmetto,St. Landry,Acadiana
Paloma,East Feliciana,Capital
Panchoville,Jefferson Davis,Southwest
Paradis,St. Charles,Southeast
Parcperdue,Iberia,Acadiana
Parhams,Catahoula,Central
Parks,St. Martin,Acadiana
Patoutville,Iberville,Capital
Patterson,St. Mary,Bayou
Paulina,St. James,Southeast
Pearl River,St. Tammany,Southeast
Peason,Sabine,Northwest
Pecan Island,Vermilion,Acadiana
Pecaniere,St. Landry,Acadiana
Peck,Catahoula,Central
Pelican,DeSoto,Northwest
Perkins,Calcasieu,Southwest
Perry,Vermilion,Acadiana
Perryville,Ouachita,Northeast
Phillips,Ouachita,Northeast
Phoenix,Plaquemines,Southeast
Pickering,Vernon,Central
Pierre Part,Assumption,Bayou
Pierre Pass,Assumption,Bayou
Pigeon,Iberville,Capital
Pilette,Lafayette,Acadiana
Pilottown,Plaquemines,Southeast
Pine,Washington,Southeast
Pine Grove,Ouachita,Northeast
Pine Grove,St. Helena,Capital
Pine Island,Jefferson Davis,Southwest
Pine Prairie,Evangeline,Acadiana
Pine Ridge,Winn,Central
Pineville,Rapides,Central
Pioneer,West Carroll,Northeast
Pitkin,Vernon,Central
Pitreville,St. Landry,Acadiana
Plain Dealing,Bossier,Northwest
Plains,East Baton Rouge,Capital
Plainview,Livingston,Capital
Plaisance,St. Landry,Acadiana
Plaquemine,Iberville,Capital
Plattenville,Assumption,Bayou
Plaucheville,Avoyelles,Central
Pleasant Hill,Sabine,Northwest
Pleasant Valley,Ouachita,Northeast
Plettenberg,West Feliciana,Capital
Point,Union,Northeast
Point Barre,Terrebonne,Bayou
Point Blue,Evangeline,Acadiana
Point Clair,Iberville,Capital
Point Pleasant,Morehouse,Northeast
Point Pleasant,Tensas,Northeast
Pointe Coupee,Pointe Coupee,Capital
Pointe-a-la-Hache,Plaquemines,Southeast
Pointe-a-Saucisse,Terrebonne,Bayou
Poland,Rapides,Central
Pollock,Grant,Central
Ponchatoula,Tangipahoa,Southeast
Port Allen,West Baton Rouge,Capital
Port Barre,St. Landry,Acadiana
Port Eads,Plaquemines,Southeast
Port Hickey,East Baton Rouge,Capital
Port Hudson,East Baton Rouge,Capital
Port of New Iberia,Iberia,Acadiana
Port Sulphur,Plaquemines,Southeast
Port Vincent,Livingston,Capital
Potash,Plaquemines,Southeast
Powhatan,Natchitoches,Northwest
Poydras,St. Bernard,Southeast
Prairieville,Ascension,Capital
Pratt,Bienville,Northwest
Presque Isle,Terrebonne,Bayou
Preston,Caddo,Northwest
Prichard,Catahoula,Central
Pride,East Baton Rouge,Capital
Prien,Calcasieu,Southwest
Princeton,Bossier,Northwest
Provencal,Natchitoches,Northwest
Puckett,East Baton Rouge,Capital
Pumpkin Center,Tangipahoa,Southeast
Quaid,Catahoula,Central
Quarantine,Plaquemines,Southeast
Quarry,Rapides,Central
Quebec,Madison,Northeast
Quimby,Madison,Northeast
Quitman,Jackson,Northwest
Raceland,Lafourche,Bayou
Ragley,Beauregard,Southwest
Ramah,Iberville,Capital
Ramos,St. Mary,Bayou
Ramsay,St. Tammany,Southeast
Randolph,Union,Northeast
Rapides,Rapides,Central
Rattan,Sabine,Northwest
Raymond,Jefferson Davis,Southwest
Rayne,Acadia,Acadiana
Rayville,Richland,Northeast
Readheimer,Natchitoches,Northwest
Red Chute,Bossier,Northwest
Red Cross,Pointe Coupee,Capital
Red Fish,Avoyelles,Central
Red Gum,Concordia,Central
Reddell,Evangeline,Acadiana
Redland,Bossier,Northwest
Reeves,Allen,Southwest
Reggio,St. Bernard,Southeast
Reiley,East Feliciana,Capital
Reisor,Caddo,Northwest
Remy,St. James,Southeast
Reserve,St. John the Baptist,Southeast
Retreat,West Feliciana,Capital
Reveille,Iberville,Capital
Rhinehart,LaSalle,Central
Rhoda,St. Mary,Bayou
Riceville,Vermilion,Acadiana
Richard,Acadia,Acadiana
Richardson,Washington,Southeast
Richmond,Madison,Northeast
Richwood,Ouachita,Northeast
Riddle,West Feliciana,Capital
Ridge,Lafayette,Acadiana
Ridgecrest,Concordia,Central
Rigolets,Orleans,Southeast
Rilla,Ouachita,Northeast
Ringgold,Bienville,Northwest
Rio,Washington,Southeast
Rita,Lafourche,Bayou
River Ridge,Jefferson,Southeast
Riverton,Caldwell,Northeast
Roanoke,Jefferson Davis,Southwest
Robeline,Natchitoches,Northwest
Robert,Tangipahoa,Southeast
Roberts Cove,Acadia,Acadiana
Robson,Caddo,Northwest
Rochelle,Grant,Central
Rocky Mount,Bossier,Northwest
Rodessa,Caddo,Northwest
Rodgerville,Jefferson Davis,Southwest
Rogers,LaSalle,Central
Rogillioville,West Feliciana,Capital
Romeville,St. James,Southeast
Roosevelt,East Carroll,Northeast
Rork,Acadia,Acadiana
Rosa,St. Landry,Acadiana
Rose Hill,Vermilion,Acadiana
Rosedale,Iberville,Capital
Rosefield,Catahoula,Central
Roseland,Tangipahoa,Southeast
Rosepine,Vernon,Central
Rossignol,Calcasieu,Southwest
Rougon,Pointe Coupee,Capital
Rousseau,Lafourche,Bayou
Roxana,Rapides,Central
Roy,Bienville,Northwest
Ruby,Rapides,Central
Ruddock,St. John the Baptist,Southeast
Rum Center,Union,Northeast
Ruston,Lincoln,Northwest
Ruth,St. Martin,Acadiana
Sailes,Bienville,Northwest
Saline,Bienville,Northwest
Samstown,Iberville,Capital
Sandel,Sabine,Northwest
Saranac,Tensas,Northeast
Sardis,Sabine,Northwest
Sarepta,Webster,Northwest
Satsuma,Livingston,Capital
Savoie,Lafourche,Bayou
Savoy,St. Landry,Acadiana
Scarsdale,Plaquemines,Southeast
Schriever,Terrebonne,Bayou
Scotlandville,East Baton Rouge,Capital
Scott,Lafayette,Acadiana
Scottsville,Claiborne,Northwest
Searcy,LaSalle,Central
Security,Catahoula,Central
Sellers,St. Charles,Southeast
Selma,Grant,Central
Serena,Catahoula,Central
Seymourville,Iberville,Capital
Shamrock,Natchitoches,Northwest
Sharon,Claiborne,Northwest
Sharp,East Baton Rouge,Capital
Shaw,Concordia,Central
Shelburn,East Carroll,Northeast
Shell Beach,St. Bernard,Southeast
Shelton,Morehouse,Northeast
Shenandoah,East Baton Rouge,Capital
Sherburne,Pointe Coupee,Capital
Sheridan,Washington,Southeast
Sherwood,Catahoula,Central
Shiloh,Tangipahoa,Southeast
Shiloh,Union,Northeast
Shongaloo,Webster,Northwest
Shreveport,Caddo,Northwest
Shuteston,St. Landry,Acadiana
Sibley,Lincoln,Northwest
Sibley,Webster,Northwest
Sicard,Ouachita,Northeast
Sicily Island,Catahoula,Central
Sieper,Rapides,Central
Sikes,Winn,Central
Silverwood,Jefferson Davis,Southwest
Simmesport,Avoyelles,Central
Simms,Grant,Central
Simpson,Vernon,Central
Simsboro,Lincoln,Northwest
Singer,Beauregard,Southwest
Slagle,Vernon,Central
Slaughter,East Feliciana,Capital
Slidell,St. Tammany,Southeast
Sligo,Bossier,Northwest
Slocum,Concordia,Central
Slone,DeSoto,Northwest
Smoke Bend,Ascension,Capital
Socola,Plaquemines,Southeast
Solitude,West Feliciana,Capital
Somerset,Tensas,Northeast
Sondheimer,East Carroll,Northeast
Sorrel,St. Mary,Bayou
Sorrento,Ascension,Capital
Soulouque,Iberville,Capital
South Vacherie,St. James,Southeast
South Bend,St. Mary,Bayou
South Mansfield,DeSoto,Northwest
South Point,Orleans,Southeast
Sparta,Bienville,Northwest
Spaulding,Caldwell,Northeast
Spearsville,Union,Northeast
Spencer,Union,Northeast
Spillman,West Feliciana,Capital
Spokane,Concordia,Central
Spring Creek,Tangipahoa,Southeast
Spring Ridge,Caddo,Northwest
Springfield,Livingston,Capital
Springhill,Washington,Southeast
Springhill,Webster,Northwest
Springville,Livingston,Capital
St. Amant,Ascension,Capital
St. Amelia,St. James,Southeast
St. Benedict,St. Tammany,Southeast
St. Bernard,St. Bernard,Southeast
St. Charles,Lafourche,Bayou
St. Charles,St. Charles,Southeast
St. Clair,Plaquemines,Southeast
St. Francisville,West Feliciana,Capital
St. Gabriel,Iberville,Capital
St. Genevieve,Concordia,Central
St. James,St. James,Southeast
St. Joe,St. Tammany,Southeast
St. John,St. Martin,Acadiana
St. Joseph,Tensas,Northeast
St. Landry,Evangeline,Acadiana
St. Landry,St. Landry,Acadiana
St. Martin,St. Martin,Acadiana
St. Martinville,St. Martin,Acadiana
St. Maurice,Winn,Central
St. Rose,St. Charles,Southeast
St. Tammany,St. Tammany,Southeast
Stacy,Concordia,Central
Stampley,Morehouse,Northeast
Standard,LaSalle,Central
Standard,Vernon,Central
Stanley,DeSoto,Northwest
Stanton,Orleans,Southeast
Starhill,West Feliciana,Capital
Starks,Calcasieu,Southwest
Start,Richland,Northeast
State Line,Washington,Southeast
Stella,Plaquemines,Southeast
Sterlington,Ouachita,Northeast
Stevensdale,East Baton Rouge,Capital
Stevenson,Morehouse,Northeast
Stonewall,DeSoto,Northwest
Stonypoint,East Baton Rouge,Capital
Strader,Tangipahoa,Southeast
Sugar Creek,Claiborne,Northwest
Sugartown,Beauregard,Southwest
Sulphur,Calcasieu,Southwest
Sulphur Springs,Sabine,Northwest
Summerfield,Claiborne,Northwest
Summerfield,Grant,Central
Summerville,LaSalle,Central
Sun,St. Tammany,Southeast
Sunny Hill,Washington,Southeast
Sunrise,Terrebonne,Bayou
Sunrise,West Baton Rouge,Capital
Sunset,St. Landry,Acadiana
Sunshine,Iberville,Capital
Supreme,Assumption,Bayou
Swampers,Franklin,Northeast
Swartz,Ouachita,Northeast
Swayze Lake,St. Landry,Acadiana
Sweet Lake,Cameron,Southwest
Swords,St. Landry,Acadiana
Taft,St. Charles,Southeast
Talisheek,St. Tammany,Southeast
Talla Bena,Madison,Northeast
Tallulah,Madison,Northeast
Tangipahoa,Tangipahoa,Southeast
Tannehill,Winn,Central
Tate Cove,Evangeline,Acadiana
Taylor,Bienville,Northwest
Taylortown,Bossier,Northwest
Taylorville,Union,Northeast
Teddy,East Feliciana,Capital
Temple,Vernon,Central
Tendal,Madison,Northeast
Tensas Bluff,Tensas,Northeast
Terry,West Carroll,Northeast
Terrytown,Jefferson,Southeast
Theall,Vermilion,Acadiana
Theriot,Lafourche,Bayou
Theriot,Terrebonne,Bayou
Thibodaux,Lafourche,Bayou
Thomas,Washington,Southeast
Thomastown,Madison,Northeast
Thomastown,Washington,Southeast
Thornwell,Jefferson Davis,Southwest
Tickfaw,Tangipahoa,Southeast
Tide Water,Plaquemines,Southeast
Timber Trails,Rapides,Central
Timberlane,Jefferson,Southeast
Timon,Natchitoches,Northwest
Tinus,St. Helena,Capital
Tioga,Rapides,Central
Toca,St. Bernard,Southeast
Tooleys,Catahoula,Central
Toomey,Calcasieu,Southwest
Torbert,Pointe Coupee,Capital
Toro,Sabine,Northwest
Torras,Pointe Coupee,Capital
Transylvania,East Carroll,Northeast
Treat,Webster,Northwest
Trees,Caddo,Northwest
Tremont,Lincoln,Northwest
Trenton,DeSoto,Northwest
Trichell,Natchitoches,Northwest
Trinity,Catahoula,Central
Triumph-Buras,Plaquemines,Southeast
Tropical Bend,Plaquemines,Southeast
Trout,LaSalle,Central
Troy,East Feliciana,Capital
Truxno,Union,Northeast
Tullos,La Salle,Central
Tunica,West Feliciana,Capital
Turkey Creek,Evangeline,Acadiana
Turnbull,West Feliciana,Capital
Twin Oaks,Morehouse,Northeast
Uncle Sam,St. James,Southeast
Union,St. James,Southeast
Union,Union,Northeast
Union Hill,Rapides,Central
Union Springs,Sabine,Northwest
Unionville,Lincoln,Northwest
Urania,LaSalle,Central
Uscarco,Morehouse,Northeast
Utility,Catahoula,Central
Vacherie,St. James,Southeast
Valentine,Lafourche,Bayou
Valverda,Pointe Coupee,Capital
Varnado,Washington,Southeast
Vatican,Lafayette,Acadiana
Vaughn,Morehouse,Northeast
Velma,Tangipahoa,Southeast
Venice-Boothville,Plaquemines,Southeast
Ventress,Pointe Coupee,Capital
Verda,Grant,Central
Verdun,Livingston,Capital
Verdunville,St. Mary,Bayou
Vermilion,Vermilion,Acadiana
Vernon,Jackson,Northwest
Vernon,Vernon,Central
Verret,St. Bernard,Southeast
Verrett,Jefferson Davis,Southwest
Vick,Avoyelles,Central
Vidalia,Concordia,Central
Vidrine,Evangeline,Acadiana
Vienna,Lincoln,Northwest
Village St. George,East Baton Rouge,Capital
Ville Platte,Evangeline,Acadiana
Vinton,Calcasieu,Southwest
Violet,St. Bernard,Southeast
Vivian,Caddo,Northwest
Vixen,Caldwell,Northeast
Voorhies,Avoyelles,Central
Vowells Mill,Natchitoches,Northwest
Wadesboro,Tangipahoa,Southeast
Waggaman,Jefferson,Southeast
Wainwright,East Carroll,Northeast
Wakefield,West Feliciana,Capital
Waldheim,St. Tammany,Southeast
Walker,Jackson,Northwest
Walker,Livingston,Capital
Wall Lake,Ouachita,Northeast
Wallace,St. John the Baptist,Southeast
Wallace Ridge,Catahoula,Central
Walls,West Baton Rouge,Capital
Walnut Hill,Vernon,Central
Walters,Catahoula,Central
Ward,Allen,Southwest
Warden,Richland,Northeast
Wardview,Bossier,Northwest
Wardville,Morehouse,Northeast
Warnerton,Washington,Southeast
Washington,St. Landry,Acadiana
Waterproof,Terrebonne,Bayou
Waterproof,Tensas,Northeast
Watson,Livingston,Capital
Waverly,Madison,Northeast
Waxia,St. Landry,Acadiana
Webb,Catahoula,Central
Weeks,Iberia,Acadiana
Weiss,Livingston,Capital
Welcome,St. James,Southeast
Weldon,Claiborne,Northwest
Welsh,Jefferson Davis,Southwest
West Ferriday,Concordia,Central
West Monroe,Ouachita,Northeast
West Pointe a la Hache,Plaquemines,Southeast
Westdale,Red River,Northwest
Westlake,Calcasieu,Southwest
Westminster,East Baton Rouge,Capital
Weston,Jackson,Northwest
Westport,Rapides,Central
Westwego,Jefferson,Southeast
Westwood,Tensas,Northeast
Weyanoke,West Feliciana,Capital
Wham,Ouachita,Northeast
Wheeling,Winn,Central
White Castle,Iberville,Capital
White Sulphur Springs,LaSalle,Central
Whitehall,LaSalle,Central
Whitehall,Livingston,Capital
Whiteville,St. Landry,Acadiana
Whittington,Rapides,Central
Wickliffe,Pointe Coupee,Capital
Wilda,Rapides,Central
Wildsville,Concordia,Central
Willetts,Concordia,Central
Willhite,Union,Northeast
Williams,Red River,Northwest
Williana,Grant,Central
Willow Glen,Rapides,Central
Wills Point,Plaquemines,Southeast
Wilman,East Carroll,Northeast
Wilmer,Tangipahoa,Southeast
Wilson,East Feliciana,Capital
Windsor,Morehouse,Northeast
Winn,Winn,Central
Winnfield,Winn,Central
Winnsboro,Franklin,Northeast
Wisner,Franklin,Northeast
Womack,Jackson,Northwest
Womack,Red River,Northwest
Woodardville,Bienville,Northwest
Woodhaven,Tangipahoa,Southeast
Woodland,East Feliciana,Capital
Woodlawn,Assumption,Bayou
Woodlawn,Jefferson Davis,Southwest
Woodmere,Jefferson,Southeast
Woodside,Avoyelles,Central
Woodville,Lincoln,Northwest
Woodworth,Rapides,Central
Wright,Vermilion,Acadiana
Wyatt,Jackson,Northwest
Yellow Pine,Webster,Northwest
Youngsville,Lafayette,Acadiana
Yscloskey,St. Bernard,Southeast
Zachary,East Baton Rouge,Capital
Zenoria,LaSalle,Central
Zimmerman,Rapides,Central
Zimmerman Camp,Rapides,Central
Zion,Grant,Central
Zion City,East Baton Rouge,Capital
Zona,Washington,Southeast
Zwolle,Sabine,Northwest
Zylks,Caddo,Northwest
